ПО/не ПО,Код (Соответствие),Комментарий,Версия продукта (Соответствие)
не ПО,AccessibilityFoundation,framework,
не ПО,AccessibilityKit,framework,
не ПО,AccessibilityPerformance,framework,
не ПО,AccessibilityPlatformTranslation,framework,
не ПО,AccessibilitySharedSupport,framework,
не ПО,AccessibilitySharedUISupport,framework,1.0
не ПО,AccessibilitySharedUISupport,framework,
не ПО,AccessibilitySupport,framework,
не ПО,AccessibilityUI,framework,
не ПО,AccessibilityUIService,framework,
не ПО,AccessibilityUIShared,framework,
не ПО,AccessibilityUIUtilities,framework,
не ПО,Accessibilityutilities,framework,
не ПО,AccessibilityVisuals,framework,
не ПО,AccessoryNowPlaying,framework,
не ПО,AccountNotificationPlugin,пакет,1.0
не ПО,AccountNotificationPlugin,пакет,
не ПО,AccountNotificationPlugin,plugin,
не ПО,AccountPolicy,framework,
не ПО,Accounts,framework,
не ПО,AccountsDaemon,framework,
не ПО,AccountSuggestionNotificationPlugin,пакет,1.0
не ПО,AccountSuggestionNotificationPlugin,пакет,
не ПО,AccountSuggestions,framework,1.0
не ПО,AccountSuggestions,framework,
не ПО,AccountsUI,framework,
не ПО,AccountsUISettings,framework,1.0
не ПО,AccountsUISettings,framework,
не ПО,ACDatabaseBackupNotificationPlugin,пакет,
не ПО,ACDECIient,framework,
не ПО,﻿acfs,Расширение ядра,
не ПО,acfs,framework,
не ПО,﻿﻿acfsctl,Расширение ядра,
не ПО,acfsSupport,framework,
не ПО,Acorn,,7.4.2
не ПО,AcousticMaterials,framework,1.0
не ПО,AcousticMaterials,framework,
непонятно,acpi-support,,0.143
ПО,Acrobat Pro DC,,21.011.20039
ПО,Acrobat Reader,,23.001.20143
ПО,Acrobat Reader,,21.011.20039
ПО,Acrobat Reader,,23.003.20244
ПО,Acrobat Reader,,23.003.20215
ПО,Acrobat Reader,,23.001.20177
ПО,Acrobat Reader,,22.003.20314
ПО,Acrobat Reader,,21.005.20058
ПО,Acrobat Reader,,21.007.20099
ПО,Acrobat Reader,,22.002.20212
ПО,Acrobat Reader,,23.003.20201
не ПО,ActionKit,framework,
не ПО,ActionKitUI,framework,
непонятно,Active Layer,,22.0.0 v1 RUS (3009)
не ПО,ActivityRingsUI,framework,
не ПО,ADAccountsNotificationPlugin,пакет,
ПО,AdBlock,,1.28.2
ПО,AdBlock,,2.0.2
ПО,AdBlock,,2.0.3
не ПО,AdCore,framework,
непонятно,Add Printer,,18
непонятно,Add Printer,,17
не ПО,AddressBook,framework,
не ПО,AddressBookAutocomplete,framework,
не ПО,AddressBookCore,framework,
не ПО,AddressBooklll,framework,
не ПО,AddressBookUI,framework,1.0.0
не ПО,AddressBookUI,framework,
ПО,AdGuard for Safari,,1.10.4
ПО,AdGuard for Safari,,1.11.12
ПО,AdGuard for Safari,,1.11.13
ПО,AdGuard for Safari,,1.11.14
ПО,AdGuard for Safari,,1.11.8
не ПО,AdID,framework,
не ПО,ADIUserAccountUpdater,пакет,
не ПО,Admin,framework,13.0
не ПО,Admin,framework,1.0
не ПО,Admin,framework,
ПО,Adobe Bridge 2022,,12.0.1.246
ПО,Adobe Bridge 2022,,12.0.0.234
ПО,Adobe Bridge 2022,,12.0.3.270
ПО,Adobe Bridge 2023,,13.0.3
ПО,Adobe Creative Cloud Diagnostics,,1.1.0.30
ПО,Adobe Creative Cloud Diagnostics,,1.0.0.83
ПО,Adobe Digital Editions,,4.5.10
ПО,Adobe Digital Editions,,4.5.11
не ПО,Adobe Genuine Software Integrity Service,,8.2.0.34
ПО,Adobe Lightroom,,6.0
не ПО,adobe_lichelper,,1.0.0.259
не ПО,AdobeAAMDetect_x86_64,,3.0.0.0
не ПО,AdobeCleanUpUtility,,8.2.0.34
не ПО,AdPlatforms,framework,
не ПО,AdPlatformsCommon,framework,1.0
не ПО,AdPlatformsCommon,framework,
не ПО,AdPlatformsCommonUI,framework,1.0
не ПО,AdPlatformsCommonUI,framework,
не ПО,AdPlatformsInternal,framework,
не ПО,AdServices,framework,1.0
не ПО,AdServices,framework,
не ПО,AdSupport,framework,
не ПО,AE,framework,
не ПО,AFKACIPCKext,framework,1.0
не ПО,﻿﻿AFKACIPCKext,Расширение ядра,
не ПО,AFKACIPCKext,framework,
не ПО,AFKDriverKit,framework,
не ПО,AFKUser,framework,1.0
не ПО,AFKUser,framework,
не ПО,AFP Client Session Monitor,framework,4.0
не ПО,AFP Client Session Monitor,framework,
не ПО,afpfs,Расширение ядра,
непонятно,After Effects,,22.1.1
непонятно,After Effects Render Engine,,22.1.1
не ПО,AFTK_Kext,framework,1.0
не ПО,﻿﻿AFTK_Kext,Расширение ядра,
не ПО,AFTK_Kext,framework,
непонятно,agetty,,2.36.1-alt2
не ПО,AggregateDictionary,framework,
не ПО,AggregateDictionaryHistory,framework,
не ПО,AGL,framework,
не ПО,AGXCompilerCore,framework,227.2.45
не ПО,AGXCompilerCore,framework,227.5.14
не ПО,AGXCompilerCore,framework,190.22.3
не ПО,AGXCompilerCore,framework,227.7.8
не ПО,AGXCompilerCore,framework,190.23
не ПО,AGXCompilerCore,framework,
не ПО,﻿﻿AGXFirmwareKextG13GRTBuddy,Расширение ядра,
не ПО,﻿﻿AGXFirmwareKextG13XRTBuddy,Расширение ядра,
не ПО,﻿﻿AGXFirmwareKextG14GRTBuddv,Расширение ядра,
не ПО,AGXFirmwareKextG14PRTBuddv,Расширение ядра,
не ПО,﻿﻿AGXFirmwareKextG14XRTBuddv,Расширение ядра,
не ПО,﻿﻿AGXFirmwareKextRTBuddy64,Расширение ядра,
непонятно,AGXG11G Graphics Kernel Extension,,190.22.3
непонятно,AGXG11G Graphics Kernel Extension,,190.23
не ПО,﻿﻿AGXG13G,Расширение ядра,
непонятно,AGXG13G Graphics Kernel Extension,,227.2.45
непонятно,AGXG13G Graphics Kernel Extension,,227.5.14
непонятно,AGXG13G Graphics Kernel Extension,,190.22.3
непонятно,AGXG13G Graphics Kernel Extension,,227.7.8
непонятно,AGXG13G Graphics Kernel Extension,,190.23
не ПО,﻿﻿AGXG13X,Расширение ядра,
непонятно,AGXG13X Graphics Kernel Extension,,227.2.45
непонятно,AGXG13X Graphics Kernel Extension,,227.5.14
непонятно,AGXG13X Graphics Kernel Extension,,190.22.3
непонятно,AGXG13X Graphics Kernel Extension,,227.7.8
непонятно,AGXG13X Graphics Kernel Extension,,190.23
не ПО,AGXG14G,Расширение ядра,
непонятно,AGXG14G Graphics Kernel Extension,,227.2.45
непонятно,AGXG14G Graphics Kernel Extension,,227.5.14
непонятно,AGXG14G Graphics Kernel Extension,,190.22.3
непонятно,AGXG14G Graphics Kernel Extension,,227.7.8
непонятно,AGXG14G Graphics Kernel Extension,,190.23
не ПО,﻿﻿AGXG14X,Расширение ядра,
непонятно,AGXG14X Graphics Kernel Extension,,227.2.45
непонятно,AGXG14X Graphics Kernel Extension,,227.5.14
непонятно,AGXG14X Graphics Kernel Extension,,227.7.8
не ПО,AGXGPURawCounter,framework,227.2.45
не ПО,AGXGPURawCounter,framework,227.5.14
не ПО,AGXGPURawCounter,framework,190.22.3
не ПО,AGXGPURawCounter,framework,227.7.8
не ПО,AGXGPURawCounter,framework,190.23
не ПО,AGXGPURawCounter,framework,
не ПО,AGXGPURawCounterBundle,пакет,227.2.45
не ПО,AGXGPURawCounterBundle,пакет,227.5.14
не ПО,AGXGPURawCounterBundle,пакет,190.22.3
не ПО,AGXGPURawCounterBundle,пакет,227.7.8
не ПО,AGXGPURawCounterBundle,пакет,190.23
не ПО,AGXGPURawCounterBundle,пакет,
не ПО,AGXMetal13_3,пакет,227.2.45
не ПО,AGXMetal13_3,пакет,227.5.14
не ПО,AGXMetal13_3,пакет,190.22.3
не ПО,AGXMetal13_3,пакет,227.7.8
не ПО,AGXMetal13_3,пакет,190.23
не ПО,AGXMetal13_3,пакет,
не ПО,AGXMetal13_3_a,пакет,190.22.3
не ПО,AGXMetal13_3_a,пакет,190.23
не ПО,AGXMetal13_3_a,пакет,
не ПО,AGXMetalA12,пакет,190.22.3
не ПО,AGXMetalA12,пакет,190.23
не ПО,AGXMetalA12,пакет,
не ПО,AGXMetalG13S_A0,пакет,190.22.3
не ПО,AGXMetalG13S_A0,пакет,190.23
не ПО,AGXMetalG13S_A0,пакет,
не ПО,AGXMetalG13X,пакет,227.2.45
не ПО,AGXMetalG13X,пакет,227.5.14
не ПО,AGXMetalG13X,пакет,190.22.3
не ПО,AGXMetalG13X,пакет,227.7.8
не ПО,AGXMetalG13X,пакет,190.23
не ПО,AGXMetalG13X,пакет,
непонятно,AGXMetalG14G,,227.2.45
непонятно,AGXMetalG14G,,227.5.14
непонятно,AGXMetalG14G,,190.22.3
непонятно,AGXMetalG14G,,227.7.8
непонятно,AGXMetalG14G,,190.23
не ПО,﻿﻿AGXMetalG14G,пакет,
непонятно,AGXMetalG14X,,227.2.45
непонятно,AGXMetalG14X,,227.5.14
непонятно,AGXMetalG14X,,227.7.8
не ПО,﻿﻿AGXMetalG14X,пакет,
не ПО,AIMLExperimentationAnalytics,framework,1.0
не ПО,AIMLExperimentationAnalytics,framework,
не ПО,AIMLInstrumentationStreams,framework,1.0
не ПО,AIMLInstrumentationStreams,framework,
ПО,AirBeam,,2.3
не ПО,AirDropHandoffExtension,расширение программ и систем,1.0
не ПО,AirDropHandoffExtension,расширение программ и систем,
не ПО,AirPlayReceiver,framework,
не ПО,AirPlayReceiverKit,framework,1.0
не ПО,AirPlayReceiverKit,framework,
не ПО,AirPlayRoutePrediction,framework,1.0
не ПО,AirPlayRoutePrediction,framework,
не ПО,AirPlaySender,framework,
не ПО,AirPlaySupport,framework,
не ПО,AirPlaySync,framework,
не ПО,AKAccountNotificationPlugin,пакет,
не ПО,AKS,,1.0
непонятно,Alacritty,,0.10.1
не ПО,AlarmFlowPlugin,пакет,1.0
не ПО,AlarmFlowPlugin,пакет,
не ПО,ALF,Расширение ядра,
не ПО,AlgosScoreFramework,framework,1.0
не ПО,AlgosScoreFramework,framework,
непонятно,Align View,,22.0.0 v1 RUS (3009)
ПО,ALT Server 10.0 (FalcoRusticolus),,
не ПО,alt-domain-server,,0.5.3-alt1
не ПО,alt-gpgkeys,,0.8.17-alt1
не ПО,alt-os-release,,0.1.1-alt1
ПО,Altair GraphQL Client,,2.5.0
непонятно,alterator,,5.4.1-alt4
непонятно,alterator-auth,,0.43.9-alt4
непонятно,alterator-bind,,0.9.5-alt1.1.1
непонятно,alterator-ca,,0.5.8-alt1
непонятно,alterator-datetime,,4.6.8-alt1
непонятно,alterator-dhcp,,0.9.6-alt1
непонятно,alterator-fbi,,5.49.2-alt1
непонятно,alterator-firsttime,,0.4-alt3
непонятно,alterator-gpupdate,,1.3-alt1
непонятно,alterator-grub,,0.16-alt1
непонятно,alterator-hw-functions,,0.7.7-alt1
непонятно,alterator-kdc,,0.5-alt2
непонятно,alterator-l10n,,2.9.101-alt1
непонятно,alterator-ldap-groups,,0.6.7-alt1
непонятно,alterator-ldap-users,,0.8.5-alt2
непонятно,alterator-logs,,0.9.2-alt1
непонятно,alterator-lookout,,2.7-alt3
непонятно,alterator-mirror,,0.4.9-alt1
непонятно,alterator-multiseat,,0.0.8-alt1
непонятно,alterator-net-bond,,1.1.1-alt1
непонятно,alterator-net-bridge,,0.2.2-alt1
непонятно,alterator-net-domain,,0.7.2-alt1
непонятно,alterator-net-eth,,5.2.0-alt1
непонятно,alterator-net-functions,,2.1.0-alt1
непонятно,alterator-net-iptables,,4.19.9-alt1
непонятно,alterator-net-openvpn,,0.8.15-alt1
непонятно,alterator-net-pppoe,,0.10-alt1
непонятно,alterator-net-pptp,,0.10.5-alt1
непонятно,alterator-netinst,,1.9.1-alt4
непонятно,alterator-notes,,1.1-alt9
непонятно,alterator-openldap,,0.9-alt2
непонятно,alterator-openldap-functions,,0.3.4-alt1
непонятно,alterator-openvpn-server,,0.8.7-alt1
непонятно,alterator-openvpn-sh-functions,,1.0-alt1
непонятно,alterator-perl-functions,,0.4-alt4
непонятно,alterator-postfix-dovecot,,0.8.7-alt1
непонятно,alterator-quota,,1.6.3-alt1
непонятно,alterator-root,,1.1-alt3
непонятно,alterator-service-functions,,3.0.0-alt4
непонятно,alterator-services,,2.0.3-alt1
непонятно,alterator-sh-functions,,0.13-alt3
непонятно,alterator-squid,,1.4.5-alt1
непонятно,alterator-squidmill,,2.4-alt1
непонятно,alterator-sslkey,,0.2.4-alt1
непонятно,alterator-trust,,0.6.2.2-alt1
непонятно,alterator-ulogd,,2.0.1-alt1
непонятно,alterator-update-kernel,,1.4-alt2
непонятно,alterator-updates,,0.2.2-alt1.1.1
непонятно,alterator-users,,10.12-alt1
непонятно,alterator-usersource-functions,,0.8.5-alt2
непонятно,alterator-vsftpd,,0.10.1-alt1
непонятно,alterator-xinetd,,1.10-alt1
непонятно,alternatives,,0.5.1-alt1
непонятно,altlinux-repos,,1.0-alt1
непонятно,AltTab,,6.61.0
непонятно,AltTab,,6.46.1
непонятно,AltTab,,6.55.0
непонятно,AltTab,,6.59.0
не ПО,AmbientDisplay,framework,
не ПО,AMD10000Controller,Расширение ядра,
непонятно,amd64-microcode,,3.20191218.1ubuntu1
не ПО,AMD9500Controller,Расширение ядра,
не ПО,AMDFramebuffer,Расширение ядра,
не ПО,AMDMTLBronzeDriver,пакет,
не ПО,AMDRadeonServiceManager,Расширение ядра,
не ПО,AMDRadeonVADriver,пакет,
не ПО,AMDRadeonVADriver2,пакет,
не ПО,AMDRadeonX4000,Расширение ядра,
не ПО,AMDRadeonX4000GLDriver,пакет,
не ПО,AMDRadeonX4000HWServices,Расширение ядра,
не ПО,AMDRadeonX5000,Расширение ядра,
не ПО,AMDRadeonX5000GLDriver,пакет,
не ПО,AMDRadeonX5000HWServices,Расширение ядра,
не ПО,AMDRadeonX5000MTLDriver,пакет,
не ПО,AMDRadeonX5000Shared,пакет,
не ПО,﻿﻿AMDRadeonX6000,Расширение ядра,
не ПО,AMDRadeonX6000Framebuffer,Расширение ядра,
не ПО,AMDRadeonX6000GLDriver,пакет,
не ПО,﻿﻿AMDRadeonX6000HWServices,Расширение ядра,
не ПО,AMDRadeonX6000MTLDriver,пакет,
не ПО,AMDRadeonX6000Shared,пакет,
не ПО,AMDRawCounterPlugin,пакет,1.0
не ПО,AMDRawCounterPlugin,пакет,
не ПО,AMDShared,пакет,
не ПО,AMDSupport,Расширение ядра,
не ПО,AMPAccountNotificationPlugin,пакет,
не ПО,AMPDesktopUI,framework,1.3.3
не ПО,AMPDesktopUI,framework,1.3.4
не ПО,AMPDesktopUI,framework,1.2.5
не ПО,AMPDesktopUI,framework,1.3.5
не ПО,AMPDesktopUI,framework,
не ПО,AMPDevices,framework,
непонятно,Amphetamine,,5.2.2
не ПО,AMPLibrary,framework,
не ПО,AMPSharing,framework,
не ПО,AMSAccountAuthenticationPlugin,пакет,
не ПО,AMSAccountNotificationPlugin,пакет,
не ПО,AMSDataMigrator,пакет,
не ПО,AMSMediaServiceOwner,пакет,
ПО,Android File Transfer,,1.0.12
ПО,Android Studio,,3.5
ПО,Android Studio,,2021.1
ПО,Android Studio,,2020.3
ПО,Android Studio,,2021.3
ПО,Android Studio,,2022.1
ПО,Android Studio,,2022.1
ПО,Android Studio,,4.1
ПО,Android Studio,,4.2
не ПО,ANECompiler,framework,6.7.1
не ПО,ANECompiler,framework,6.8.2
не ПО,ANECompiler,framework,5.5.0
не ПО,ANECompiler,framework,6.9.2
не ПО,ANECompiler,framework,
не ПО,ANEServices,framework,6.300
не ПО,ANEServices,framework,6.404
не ПО,ANEServices,framework,5.68
не ПО,ANEServices,framework,6.551
не ПО,ANEServices,framework,
не ПО,AnnotationKit,framework,
не ПО,AOSAccounts,framework,
не ПО,AOSAccountsLite,framework,
не ПО,AOSKit,framework,
не ПО,AOSKitNotificationPlugin,пакет,
не ПО,AOSUI,framework,
не ПО,AOSUIPrefPaneLauncher,,1.0
ПО,Apache NetBeans 11.3,,11.3
ПО,Apache NetBeans 12.3,,12.3
ПО,ApacheDirectoryStudio,,2.0.0
ПО,ApacheDirectoryStudio,,2.0.0
непонятно,APAESActivity,,1.0
непонятно,Apartment Stamp,,22.0.0 v1 RUS (3009)
не ПО,APConfigurationSystem,framework,1.0
не ПО,APConfigurationSystem,framework,
не ПО,APFoundation,framework,1.0
не ПО,APFoundation,framework,
не ПО,apfs,Расширение ядра,
не ПО,APFS,framework,
не ПО,apfs_boot_mount,framework,2142.81.1
не ПО,apfs_boot_mount,framework,2142.101.3
не ПО,apfs_boot_mount,framework,1934.141.2
не ПО,apfs_boot_mount,framework,2142.120.7
не ПО,apfs_boot_mount,framework,
непонятно,apg,,2.2.3.dfsg.1-5
не ПО,APODMLDESPlugin,,1.0
ПО,ApolloOne,,3.1.5
ПО,App Cleaner & Uninstaller,,6.10
ПО,App Cleaner & Uninstaller,,7.1
ПО,App Cleaner & Uninstaller,,8.1
не ПО,app-install-data-partner,инсталляционный файл,19.04
не ПО,AppAnalytics,framework,
не ПО,AppAttestInternal,,1.0
не ПО,AppAttestlnternal,framework,
ПО,AppCleaner,,3.6.0
ПО,AppCleaner,,3.5
ПО,AppCleaner,,3.6.4
ПО,AppCleaner,,3.6.7
ПО,AppCleaner,,3.6.8
не ПО,AppClip,framework,1001
не ПО,AppClip,framework,1.0
не ПО,AppClip,framework,
непонятно,AppCode,,2021.3.2
непонятно,AppCode,,2019.3.2
не ПО,AppContainer,framework,
не ПО,Appearance,панель настроек macOS,1.0
не ПО,Appearance,панель настроек macOS,
не ПО,AppearancePrefUAU,пакет,
не ПО,AppExtensionManagement,расширение программ и систем,1.0
не ПО,AppExtensionManagement,расширение программ и систем,
не ПО,AppIntents,framework,1.0
не ПО,AppIntents,framework,
не ПО,AppKit,framework,
не ПО,AppLaunchPlugin,пакет,1.0
не ПО,AppLaunchPlugin,пакет,
не ПО,AppLaunchSuggestionsPlugin,пакет,1.0
не ПО,AppLaunchSuggestionsPlugin,пакет,
непонятно,Apple M2 Scaler and Color Space Converter Driver,,266.0.0
не ПО,Apple_iSight,Расширение ядра,
не ПО,Apple|DSSONotificationPlugin,пакет,
не ПО,Apple|DSSOuthenticationPlugin,пакет,
не ПО,Apple16X50Serial,Расширение ядра,
не ПО,Apple80211,framework,
не ПО,AppleA7IOP,Расширение ядра,1.0
не ПО,AppleA7IOP,Расширение ядра,
непонятно,AppleAccessibilityAudio,,1.0
не ПО,AppleAccount,framework,
не ПО,AppleAccountUI,framework,1.0
не ПО,AppleAccountUI,framework,
не ПО,AppleACPIPlatform,Расширение ядра,
не ПО,AppleActuatorDriver,Расширение ядра,
не ПО,AppleAfterburner,Расширение ядра,
не ПО,AppleAfterburnerProResDecoder,пакет,
не ПО,AppleAHCIPort,Расширение ядра,
не ПО,AppleALSColorSensor,Расширение ядра,1.0.0
не ПО,AppleALSColorSensor,Расширение ядра,
не ПО,AppleANELoadBalancer,Расширение ядра,6.300.2
не ПО,AppleANELoadBalancer,Расширение ядра,6.404.2
не ПО,AppleANELoadBalancer,Расширение ядра,5.68.2
не ПО,AppleANELoadBalancer,Расширение ядра,6.551.2
не ПО,AppleANELoadBalancer,Расширение ядра,
не ПО,AppleANXDPTX,Расширение ядра,1.0
не ПО,AppleANXDPTX,Расширение ядра,
не ПО,AppleAOPAudio,Расширение ядра,240.5
не ПО,AppleAOPAudio,Расширение ядра,200.45
не ПО,AppleAOPAudio,Расширение ядра,150.2
не ПО,AppleAOPAudio,Расширение ядра,
не ПО,AppleAOPAudioPlugin,плагин,1.0
не ПО,AppleAOPVoiceTrigger,Расширение ядра,240.1
не ПО,AppleAOPVoiceTrigger,Расширение ядра,200.4
не ПО,AppleAOPVoiceTrigger,Расширение ядра,140.1
не ПО,AppleAOPVoiceTrigger,Расширение ядра,
не ПО,AppleAPIC,Расширение ядра,
не ПО,AppleAppSupport,framework,
не ПО,AppleARMGIC,Расширение ядра,1.0
не ПО,AppleARMGIC,Расширение ядра,
не ПО,AppleARMIISAudio,Расширение ядра,240.2
не ПО,AppleARMIISAudio,Расширение ядра,200.8
не ПО,AppleARMIISAudio,Расширение ядра,140.2
не ПО,AppleARMIISAudio,Расширение ядра,
не ПО,AppleARMPlatform,Расширение ядра,1.0.2
не ПО,AppleARMPlatform,Расширение ядра,
не ПО,AppleARMPMU,Расширение ядра,1.0
не ПО,AppleARMPMU,Расширение ядра,
не ПО,AppleARMWatchdogTimer,Расширение ядра,1.0
не ПО,AppleARMWatchdogTimer,Расширение ядра,
не ПО,AppleAudioClockLibs,Расширение ядра,240.1
не ПО,AppleAudioClockLibs,Расширение ядра,200.5
не ПО,AppleAudioClockLibs,Расширение ядра,140.1
не ПО,AppleAudioClockLibs,Расширение ядра,
не ПО,AppleAuthCP,Расширение ядра,1.0.0
не ПО,AppleAuthCP,Расширение ядра,
не ПО,AppleAvalancheErrorHandler,Расширение ядра,1.0
не ПО,AppleAvalancheErrorHandler,Расширение ядра,
не ПО,AppleAVD,Расширение ядра,619
не ПО,AppleAVD,Расширение ядра,709
не ПО,AppleAVD,Расширение ядра,570
не ПО,AppleAVD,Расширение ядра,723.3
не ПО,AppleAVD,Расширение ядра,
не ПО,AppleAVE2,Расширение ядра,
не ПО,AppleAVEBridge,Расширение ядра,
не ПО,AppleAVEEncoder,пакет,
не ПО,AppleBacklight,Расширение ядра,
не ПО,AppleBacklightExpert,Расширение ядра,
не ПО,AppleBCMWLANBusInterfacePCIeMac,Расширение ядра,1.0
не ПО,AppleBCMWLANBusInterfacePCIeMac,Расширение ядра,
не ПО,AppleBCMWLANBusInterfacePCle,Расширение ядра,
не ПО,AppleBCMWLANCore,Расширение ядра,1.0.0
не ПО,AppleBCMWLANCore,Расширение ядра,
не ПО,AppleBCMWLANCoreMac,Расширение ядра,1.0.0
не ПО,AppleBCMWLANCoreMac,Расширение ядра,
не ПО,AppleBiometricSensor,Расширение ядра,1.0.0
не ПО,AppleBiometricSensor,Расширение ядра,
не ПО,AppleBiometricServices,Расширение ядра,1.0
не ПО,AppleBiometricServices,Расширение ядра,
не ПО,AppleBluetoothDebug,Расширение ядра,
не ПО,AppleBluetoothDebugService,Расширение ядра,
не ПО,AppleBluetoothModule,Расширение ядра,
не ПО,AppleBluetoothMultitouch,Расширение ядра,
не ПО,AppleBluetoothRemote,Расширение ядра,
не ПО,AppleBSDKextStarter,Расширение ядра,1.0
не ПО,AppleBSDKextStarter,Расширение ядра,
не ПО,AppleBTM,Расширение ядра,1.0.1
не ПО,AppleBTM,Расширение ядра,
не ПО,AppleBusPowerController,Расширение ядра,
не ПО,AppleCallbackPowerSource,Расширение ядра,1.0
не ПО,AppleCallbackPowerSource,Расширение ядра,
не ПО,AppleCameralnterface,Расширение ядра,
